text,mood
"I am feeling extremely happy today",happy
"I am very happy and excited",happy
"I feel wonderful today",happy
"I am feeling great about my life",happy
"I am so excited about the future",happy
"I achieved my goal and I feel amazing",happy
"I completed my project and I am very happy",happy
"I am smiling all day today",happy
"I feel positive and energetic",happy
"I am enjoying my day so much",happy
"I feel cheerful and full of energy",happy
"I am delighted with the results",happy
"Today has been a fantastic day",happy
"I feel joyful and excited",happy
"I am really pleased with everything",happy
"I feel proud of myself today",happy
"I am happy because everything went well",happy
"I feel relaxed and positive today",happy
"I am excited because I completed my work",happy
"I feel lucky and grateful today",happy
"I am having a great time",happy
"I feel fantastic",happy
"I am in a really good mood",happy
"I feel cheerful this morning",happy
"I am excited about my new project",happy
"I feel satisfied with my progress",happy
"I am celebrating my success today",happy
"I feel full of joy",happy
"I am extremely pleased today",happy
"I feel amazing after completing my goal",happy
"I am happy to spend time with my family",happy
"I feel energetic and positive",happy
"I am enjoying every moment today",happy
"I feel optimistic about everything",happy
"I am excited to see what happens next",happy
"I feel peaceful and happy",happy
"I am proud because I finished my assignment",happy
"I feel wonderful after hearing the good news",happy
"I am very cheerful today",happy
"I feel positive about my future",happy
"I am happy with my achievements",happy
"I feel excited and motivated",happy
"I had a beautiful day",happy
"I feel good about myself",happy
"I am extremely excited",happy
"I am feeling positive and joyful",happy
"I feel happy after talking to my friends",happy
"I am enjoying my success",happy
"I feel grateful and content",happy
"I am very happy today",happy

"I feel very sad today",sad
"I am feeling unhappy",sad
"I feel lonely and empty",sad
"I am disappointed with everything",sad
"I feel like crying",sad
"I am feeling hopeless",sad
"I have been feeling down lately",sad
"I feel heartbroken",sad
"I am upset about what happened",sad
"I feel miserable today",sad
"I feel emotionally hurt",sad
"I am sad because things did not work out",sad
"I feel alone right now",sad
"I miss someone very much",sad
"I feel depressed and unhappy",sad
"I am having a difficult emotional day",sad
"I feel low and disappointed",sad
"I am struggling with sadness",sad
"I feel terrible about the situation",sad
"I cannot stop feeling sad",sad
"I feel empty inside",sad
"I am crying because I am hurt",sad
"I feel lonely tonight",sad
"I am deeply disappointed",sad
"I feel emotionally exhausted and sad",sad
"I am upset because I failed",sad
"I feel bad about myself",sad
"I am having a very sad day",sad
"I feel unhappy about my situation",sad
"I am feeling down after the bad news",sad
"I feel like nobody understands me",sad
"I am missing my friends",sad
"I feel sad about losing something important",sad
"I am not feeling good emotionally",sad
"I feel gloomy today",sad
"I am struggling to stay positive",sad
"I feel disappointed in myself",sad
"I am feeling miserable",sad
"I feel very low today",sad
"I am sad because my plans failed",sad
"I feel lonely and upset",sad
"I am emotionally hurt by what happened",sad
"I feel unhappy with my life right now",sad
"I am feeling sorrowful",sad
"I feel sad and alone",sad
"I am having trouble feeling happy",sad
"I feel down after an argument",sad
"I am upset and want to be alone",sad
"I feel like everything is going wrong",sad
"I am feeling very unhappy",sad
"I feel sad about today's events",sad

"I am extremely angry",angry
"I am very angry right now",angry
"I am furious about what happened",angry
"I feel extremely irritated",angry
"I am losing my patience",angry
"I am annoyed by this situation",angry
"I feel frustrated with them",angry
"I am angry because they lied to me",angry
"I cannot control my anger",angry
"I am mad about the situation",angry
"I feel rage building inside me",angry
"I am irritated by everything today",angry
"I am furious with my friend",angry
"I feel angry after that argument",angry
"I am extremely annoyed",angry
"I am frustrated because nobody listens",angry
"I feel angry about the unfair treatment",angry
"I am mad at what happened",angry
"I am losing my temper",angry
"I feel irritated and frustrated",angry
"I am angry because my work was ruined",angry
"I feel furious right now",angry
"I am very annoyed with this problem",angry
"I cannot stop feeling angry",angry
"I am frustrated with my situation",angry
"I feel angry when people ignore me",angry
"I am mad because they broke their promise",angry
"I feel irritated by the constant noise",angry
"I am furious about the mistake",angry
"I am angry after being treated unfairly",angry
"I feel like shouting because I am angry",angry
"I am extremely frustrated",angry
"I feel annoyed and impatient",angry
"I am angry with myself",angry
"I am upset and angry about this",angry
"I feel rage because of what happened",angry
"I am irritated with everyone",angry
"I am angry because my plans were ruined",angry
"I feel frustrated when things go wrong",angry
"I am furious about today's situation",angry
"I am mad at my coworker",angry
"I feel angry after the argument",angry
"I am annoyed because nobody helped me",angry
"I am losing patience with this problem",angry
"I feel very irritated today",angry
"I am angry and frustrated",angry
"I am furious and cannot calm down",angry
"I feel mad about the decision",angry
"I am extremely irritated right now",angry
"I am angry because someone insulted me",angry
"I feel frustrated and angry",angry

"I am feeling very stressed",stressed
"I have too much work and I feel stressed",stressed
"I am under a lot of pressure",stressed
"I feel overwhelmed by my workload",stressed
"I am worried about everything",stressed
"I have too many deadlines",stressed
"I feel anxious about my work",stressed
"I cannot stop worrying",stressed
"I am stressed because of my exams",stressed
"I feel overwhelmed today",stressed
"I have a lot of responsibilities and pressure",stressed
"I am nervous about tomorrow",stressed
"I feel mentally overloaded",stressed
"I am struggling with too much work",stressed
"I feel tense because of my deadlines",stressed
"I am anxious about my future",stressed
"I have too many things to finish",stressed
"I feel pressured by my responsibilities",stressed
